Rig,Level,Temperature,Humidity,Timestamp,Latitude,Longitude
Tana Center,8.6,25.99,65.52,2025-06-13 18:11:40.565607+00:00,0,0
Tana Upper,8.2,21.34,55.68,2025-06-13 18:11:37.300981+00:00,0,0
Tana Center,8.82,27.95,66.01,2025-06-13 18:11:34.097987+00:00,0,0
Tana Lower,8.15,26.72,63.42,2025-06-13 18:11:30.962748+00:00,0,0
Tana Upper,9.54,22.23,68.02,2025-06-13 18:11:27.844305+00:00,0,0
Tana Center,6.89,25.28,56.82,2025-06-13 18:11:24.730630+00:00,0,0
Tana Lower,8.47,23.02,52.07,2025-06-13 18:11:21.592769+00:00,0,0
Tana Center,7.06,24.94,56.44,2025-06-13 18:11:18.456606+00:00,0,0
Tana Upper,7.46,26.36,60.46,2025-06-13 18:11:15.336260+00:00,0,0
Tana Lower,8.82,29.39,62.61,2025-06-13 18:11:12.116409+00:00,0,0
Tana Lower,7.22,20.79,51.26,2025-06-13 18:11:08.996863+00:00,0,0
Tana Center,6.82,26.73,62.19,2025-06-13 18:11:05.779409+00:00,0,0
Tana Upper,5.15,23.16,51.74,2025-06-13 18:11:02.647579+00:00,0,0
Tana Upper,6.7,21.13,64.44,2025-06-13 18:10:59.532589+00:00,0,0
Tana Lower,7.59,25.11,51.69,2025-06-13 18:10:56.356270+00:00,0,0
Tana Center,7.9,24.6,60.8,2025-06-13 18:08:16.917561+00:00,0,0
Tana Lower,5.21,24.51,52.58,2025-06-13 18:08:13.694520+00:00,0,0
Tana Center,6.72,21.25,65.78,2025-06-13 18:08:10.570433+00:00,0,0
Tana Lower,5.67,23.57,54.78,2025-06-13 18:08:07.449744+00:00,0,0
Tana Upper,7.11,23.06,57.37,2025-06-13 18:08:04.319994+00:00,0,0
Tana Center,8.85,29.74,69.36,2025-06-13 18:08:01.205774+00:00,0,0
Tana Lower,8.86,21.32,65.95,2025-06-13 18:07:58.089439+00:00,0,0
Tana Lower,8,22.18,69.41,2025-06-13 18:07:54.922724+00:00,0,0
Tana Upper,6.54,26.35,52.57,2025-06-13 18:07:51.805469+00:00,0,0
Tana Center,9.57,24.05,59.26,2025-06-13 18:07:48.526380+00:00,0,0
Tana Lower,5.37,23.59,50.81,2025-06-13 18:07:45.412158+00:00,0,0
Tana Lower,8.47,23.77,60.31,2025-06-13 18:07:42.286437+00:00,0,0
Tana Lower,6.56,20.41,66.86,2025-06-13 18:07:39.164897+00:00,0,0
Tana Center,8.41,23.13,69.37,2025-06-13 18:07:35.952458+00:00,0,0
Tana Lower,5.73,29,52.67,2025-06-13 18:07:32.834743+00:00,0,0
Tana Upper,8.21,23.06,68.31,2025-06-13 18:07:29.723470+00:00,0,0
Tana Lower,8.01,25.97,65.48,2025-06-13 18:07:26.604393+00:00,0,0
Tana Upper,7.58,21.67,53.24,2025-06-13 18:07:23.487595+00:00,0,0
Tana Center,9.25,25.04,52.1,2025-06-13 18:07:20.363009+00:00,0,0
Tana Center,8.63,28.72,57.72,2025-06-13 18:07:17.252667+00:00,0,0
Tana Lower,9.53,28.21,62.45,2025-06-13 18:07:14.119425+00:00,0,0
Tana Upper,9.75,26.74,52.07,2025-06-13 18:07:11.002646+00:00,0,0
Tana Center,6.54,22.9,56.84,2025-06-13 18:07:07.871013+00:00,0,0
Tana Upper,9.62,22.65,54.71,2025-06-13 18:07:04.751970+00:00,0,0
Tana Upper,8.58,26.23,50.83,2025-06-13 18:07:01.632444+00:00,0,0
Tana Upper,7.23,28.58,57.15,2025-06-13 18:06:58.516664+00:00,0,0
Tana Center,6.24,22.33,55.76,2025-06-13 18:06:55.401446+00:00,0,0
Tana Center,8.33,27.69,59.36,2025-06-13 18:06:52.287847+00:00,0,0
Tana Lower,7.9,26.8,58.55,2025-06-13 18:06:49.176604+00:00,0,0
Tana Lower,9.27,28.86,68.53,2025-06-13 18:06:45.979139+00:00,0,0
Tana Center,8.89,26.78,54.47,2025-06-13 18:06:42.742431+00:00,0,0
Tana Lower,9.07,24.83,54.52,2025-06-13 18:06:39.538114+00:00,0,0
Tana Center,6.53,29.77,58.89,2025-06-13 18:06:36.426727+00:00,0,0
Tana Upper,9.54,22.48,69.36,2025-06-13 18:06:33.147453+00:00,0,0
Tana Lower,6.92,28.26,57.85,2025-06-13 18:06:30.029788+00:00,0,0
